"Statistic Label","CensusYear","Sex","Single Year of Age","UNIT","VALUE"
"Persons with a disability to a great extent","2022","Female","31 years","Number","1588"
"Persons with a disability to a great extent","2022","Female","32 years","Number","1600"
"Persons with a disability to a great extent","2022","Female","33 years","Number","1493"
"Persons with a disability to a great extent","2022","Female","34 years","Number","1663"
"Persons with a disability to a great extent","2022","Female","35 years","Number","1781"
"Persons with a disability to a great extent","2022","Female","36 years","Number","1843"
"Persons with a disability to a great extent","2022","Female","37 years","Number","1866"
"Persons with a disability to a great extent","2022","Female","38 years","Number","1973"
"Persons with a disability to a great extent","2022","Female","39 years","Number","2207"
"Persons with a disability to a great extent","2022","Female","40 years","Number","2210"
"Persons with a disability to a great extent","2022","Female","41 years","Number","2389"
"Persons with a disability to a great extent","2022","Female","42 years","Number","2387"
"Persons with a disability to a great extent","2022","Female","43 years","Number","2327"
"Persons with a disability to a great extent","2022","Female","44 years","Number","2360"
"Persons with a disability to a great extent","2022","Female","45 years","Number","2348"
"Persons with a disability to a great extent","2022","Female","46 years","Number","2380"
"Persons with a disability to a great extent","2022","Female","47 years","Number","2521"
"Persons with a disability to a great extent","2022","Female","48 years","Number","2700"
"Persons with a disability to a great extent","2022","Female","49 years","Number","2662"
"Persons with a disability to a great extent","2022","Female","50 years","Number","2809"
"Persons with a disability to a great extent","2022","Female","51 years","Number","2846"
"Persons with a disability to a great extent","2022","Female","52 years","Number","3062"
"Persons with a disability to a great extent","2022","Female","53 years","Number","2808"
"Persons with a disability to a great extent","2022","Female","54 years","Number","3044"
"Persons with a disability to a great extent","2022","Female","55 years","Number","2979"
"Persons with a disability to a great extent","2022","Female","56 years","Number","3218"
"Persons with a disability to a great extent","2022","Female","57 years","Number","3280"
"Persons with a disability to a great extent","2022","Female","58 years","Number","3281"
"Persons with a disability to a great extent","2022","Female","59 years","Number","3272"
"Persons with a disability to a great extent","2022","Female","60 years","Number","3263"
"Persons with a disability to a great extent","2022","Female","61 years","Number","3345"
"Persons with a disability to a great extent","2022","Female","62 years","Number","3404"
"Persons with a disability to a great extent","2022","Female","63 years","Number","3235"
"Persons with a disability to a great extent","2022","Female","64 years","Number","3240"
"Persons with a disability to a great extent","2022","Female","65 years","Number","3031"
"Persons with a disability to a great extent","2022","Female","66 years","Number","2688"
"Persons with a disability to a great extent","2022","Female","67 years","Number","2680"
"Persons with a disability to a great extent","2022","Female","68 years","Number","2573"
"Persons with a disability to a great extent","2022","Female","69 years","Number","2734"
"Persons with a disability to a great extent","2022","Female","70 years","Number","2619"
"Persons with a disability to a great extent","2022","Female","71 years","Number","2715"
"Persons with a disability to a great extent","2022","Female","72 years","Number","2814"
"Persons with a disability to a great extent","2022","Female","73 years","Number","2898"
"Persons with a disability to a great extent","2022","Female","74 years","Number","2869"
"Persons with a disability to a great extent","2022","Female","75 years","Number","3037"
"Persons with a disability to a great extent","2022","Female","76 years","Number","3112"
"Persons with a disability to a great extent","2022","Female","77 years","Number","3050"
"Persons with a disability to a great extent","2022","Female","78 years","Number","3179"
"Persons with a disability to a great extent","2022","Female","79 years","Number","3165"
"Persons with a disability to a great extent","2022","Female","80 years","Number","3009"
"Persons with a disability to a great extent","2022","Female","81 years","Number","3104"
"Persons with a disability to a great extent","2022","Female","82 years","Number","3241"
"Persons with a disability to a great extent","2022","Female","83 years","Number","3341"
"Persons with a disability to a great extent","2022","Female","84 years","Number","3278"
"Persons with a disability to a great extent","2022","Female","85 years","Number","3263"
"Persons with a disability to a great extent","2022","Female","86 years","Number","3269"
"Persons with a disability to a great extent","2022","Female","87 years","Number","3181"
"Persons with a disability to a great extent","2022","Female","88 years","Number","3020"
"Persons with a disability to a great extent","2022","Female","89 years","Number","2643"
"Persons with a disability to a great extent","2022","Female","90 years","Number","2389"
"Persons with a disability to a great extent","2022","Female","91 years","Number","2254"
"Persons with a disability to a great extent","2022","Female","92 years","Number","1726"
"Persons with a disability to a great extent","2022","Female","93 years","Number","1527"
"Persons with a disability to a great extent","2022","Female","94 years","Number","1168"
"Persons with a disability to a great extent","2022","Female","95 years","Number","939"
"Persons with a disability to a great extent","2022","Female","96 years","Number","677"
"Persons with a disability to a great extent","2022","Female","97 years","Number","530"
"Persons with a disability to a great extent","2022","Female","98 years","Number","372"
"Persons with a disability to a great extent","2022","Female","99 years","Number","256"
"Persons with a disability to a great extent","2022","Female","100 years and over","Number","447"
